,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Los Angeles Rams,347.0,3051.0,17.0,1460.0,12.0,190.04000000000002,407.1,754.1,218.0,2.0,1.0,3.0,1.0
1,Baltimore Ravens,380.0,3536.0,22.0,1740.0,12.0,229.44,485.6,865.6,246.0,8.0,5.0,6.0,4.0
2,Pittsburgh Steelers,298.0,3110.0,22.0,1783.0,13.0,212.4,443.0,741.0,256.3,1.0,3.0,8.0,3.0
3,Washington Football Team,330.0,3068.0,21.0,1805.0,14.0,206.72,432.8,762.8,264.5,3.0,2.0,12.0,2.0
4,New Orleans Saints,333.0,3472.0,28.0,1502.0,11.0,250.88,515.2,848.2,216.2,7.0,11.0,2.0,14.0
5,Miami Dolphins,343.0,4024.0,21.0,1862.0,17.0,244.96,528.4,871.4,288.2,9.0,13.0,18.0,11.0
6,New England Patriots,333.0,3557.0,22.0,2103.0,17.0,230.28,487.7,820.7,312.3,4.0,6.0,22.0,5.0
7,Tampa Bay Buccaneers,426.0,3945.0,29.0,1289.0,10.0,273.8,568.5,994.5,188.9,26.0,21.0,1.0,20.0
8,New York Giants,388.0,3807.0,22.0,1782.0,14.0,240.28,512.7,900.7,262.2,17.0,10.0,11.0,9.0
9,Indianapolis Colts,369.0,3866.0,24.0,1448.0,16.0,250.64,530.6,899.6,240.8,16.0,14.0,4.0,13.0
10,Kansas City Chiefs,349.0,3779.0,29.0,1954.0,14.0,267.15999999999997,551.9,900.9,279.4,18.0,19.0,17.0,19.0
11,Arizona Cardinals,365.0,3623.0,26.0,2008.0,13.0,248.92,518.3,883.3,278.8,13.0,12.0,16.0,12.0
12,Green Bay Packers,346.0,3539.0,23.0,1805.0,16.0,233.56,491.9,837.9,276.5,6.0,7.0,15.0,7.0
13,Chicago Bears,350.0,3705.0,28.0,1814.0,11.0,260.2,538.5,888.5,247.4,14.0,16.0,7.0,17.0
14,Seattle Seahawks,450.0,4560.0,23.0,1529.0,18.0,274.4,594.0,1044.0,260.9,28.0,26.0,10.0,21.0
15,Buffalo Bills,369.0,3726.0,23.0,1914.0,21.0,241.04,510.6,879.6,317.4,11.0,9.0,24.0,10.0
16,San Francisco 49ers,341.0,3327.0,25.0,1703.0,12.0,233.08,482.7,823.7,242.3,5.0,4.0,5.0,6.0
17,Carolina Panthers,398.0,3825.0,28.0,1936.0,17.0,265.0,550.5,948.5,295.6,21.0,18.0,20.0,18.0
18,Atlanta Falcons,425.0,4697.0,34.0,1677.0,15.0,323.88,673.7,1098.7,257.7,32.0,31.0,9.0,31.0
19,Philadelphia Eagles,364.0,3798.0,27.0,2012.0,20.0,259.91999999999996,541.8,905.8,321.2,19.0,17.0,25.0,16.0
20,Cleveland Browns,371.0,3962.0,31.0,1773.0,16.0,282.48,582.2,953.2,273.3,23.0,23.0,13.0,25.0
21,Cincinnati Bengals,340.0,3859.0,32.0,2368.0,13.0,282.36,577.9,917.9,314.8,20.0,22.0,23.0,24.0
22,Los Angeles Chargers,340.0,3578.0,29.0,1917.0,17.0,259.12,531.8,871.8,293.7,10.0,15.0,19.0,15.0
23,Tennessee Titans,423.0,4439.0,36.0,1933.0,18.0,321.56,659.9,1082.9,301.3,31.0,30.0,21.0,30.0
24,Denver Broncos,374.0,3807.0,21.0,2080.0,22.0,236.28,506.7,880.7,340.0,12.0,8.0,27.0,8.0
25,New York Jets,418.0,4409.0,34.0,1792.0,16.0,312.36,644.9,1062.9,275.2,29.0,29.0,14.0,29.0
26,Houston Texans,377.0,4104.0,30.0,2564.0,24.0,284.15999999999997,590.4,967.4,400.4,25.0,25.0,32.0,26.0
27,Dallas Cowboys,328.0,3642.0,34.0,2541.0,20.0,281.68,568.2,896.2,374.1,15.0,20.0,29.0,23.0
28,Minnesota Vikings,358.0,4141.0,30.0,2151.0,19.0,285.64,594.1,952.1,329.1,22.0,27.0,26.0,27.0
29,Las Vegas Raiders,370.0,4212.0,28.0,2013.0,24.0,280.48,589.2,959.2,345.3,24.0,24.0,28.0,22.0
30,Jacksonville Jaguars,370.0,4231.0,34.0,2452.0,23.0,305.24,627.1,997.1,383.2,27.0,28.0,31.0,28.0
31,Detroit Lions,383.0,4558.0,38.0,2158.0,27.0,334.32,683.8,1066.8,377.8,30.0,32.0,30.0,32.0
