,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,New England Patriots,303.0,2886.0,13.0,1528.0,7.0,167.44,366.6,669.6,194.8,1.0,1.0,2.0,1.0
1,Buffalo Bills,348.0,3123.0,15.0,1649.0,12.0,184.92000000000002,402.3,750.3,236.9,4.0,2.0,11.0,2.0
2,Baltimore Ravens,318.0,3315.0,15.0,1494.0,12.0,192.6,421.5,739.5,221.4,3.0,4.0,8.0,3.0
3,Chicago Bears,362.0,3554.0,17.0,1632.0,16.0,210.16,457.4,819.4,259.2,9.0,7.0,18.0,5.0
4,Minnesota Vikings,394.0,3737.0,23.0,1728.0,8.0,241.48,511.7,905.7,220.8,19.0,16.0,7.0,16.0
5,Pittsburgh Steelers,314.0,3113.0,23.0,1753.0,7.0,216.51999999999998,449.3,763.3,217.3,5.0,6.0,5.0,7.0
6,Kansas City Chiefs,352.0,3543.0,21.0,2051.0,14.0,225.72,480.3,832.3,289.1,11.0,9.0,24.0,10.0
7,San Francisco 49ers,318.0,2707.0,23.0,1802.0,11.0,200.28,408.7,726.7,246.2,2.0,3.0,13.0,4.0
8,Green Bay Packers,326.0,3721.0,19.0,1921.0,15.0,224.84,486.1,812.1,282.1,7.0,11.0,23.0,9.0
9,Denver Broncos,348.0,3609.0,19.0,1783.0,9.0,220.36,474.9,822.9,232.3,10.0,8.0,10.0,8.0
10,Dallas Cowboys,370.0,3576.0,21.0,1656.0,14.0,227.04,483.6,853.6,249.6,16.0,10.0,15.0,11.0
11,Tennessee Titans,386.0,4080.0,25.0,1672.0,14.0,263.2,558.0,944.0,251.2,23.0,22.0,16.0,22.0
12,New Orleans Saints,371.0,3868.0,27.0,1461.0,12.0,262.72,548.8,919.8,218.1,22.0,21.0,6.0,21.0
13,Los Angeles Chargers,328.0,3204.0,21.0,1805.0,15.0,212.16,446.4,774.4,270.5,6.0,5.0,21.0,6.0
14,Philadelphia Eagles,348.0,3865.0,27.0,1442.0,13.0,262.6,548.5,896.5,222.2,18.0,20.0,9.0,20.0
15,New York Jets,363.0,3779.0,25.0,1391.0,12.0,251.16,527.9,890.9,211.1,17.0,17.0,4.0,18.0
16,Los Angeles Rams,348.0,3625.0,23.0,1809.0,15.0,237.0,500.5,848.5,270.9,14.0,14.0,22.0,13.0
17,Indianapolis Colts,394.0,3982.0,29.0,1567.0,8.0,275.28,572.2,966.2,204.7,26.0,24.0,3.0,24.0
18,Houston Texans,375.0,4276.0,33.0,1937.0,12.0,303.03999999999996,625.6,1000.6,265.7,29.0,29.0,20.0,29.0
19,Cleveland Browns,318.0,3470.0,25.0,2315.0,19.0,238.8,497.0,815.0,345.5,8.0,13.0,30.0,14.0
20,Jacksonville Jaguars,327.0,3778.0,22.0,2229.0,23.0,239.12,509.8,836.8,360.9,12.0,15.0,31.0,15.0
21,Seattle Seahawks,383.0,4223.0,19.0,1883.0,22.0,244.92,536.3,919.3,320.3,21.0,18.0,28.0,17.0
22,Atlanta Falcons,351.0,3918.0,28.0,1775.0,13.0,268.72,559.8,910.8,255.5,20.0,23.0,17.0,23.0
23,Oakland Raiders,337.0,4107.0,33.0,1570.0,15.0,296.28,608.7,945.7,247.0,24.0,27.0,14.0,28.0
24,Cincinnati Bengals,308.0,3917.0,25.0,2382.0,17.0,256.68,541.7,849.7,340.2,15.0,19.0,29.0,19.0
25,Detroit Lions,381.0,4551.0,33.0,1855.0,13.0,314.03999999999996,653.1,1034.1,263.5,31.0,30.0,19.0,30.0
26,Washington Redskins,371.0,3823.0,35.0,2339.0,14.0,292.91999999999996,592.3,963.3,317.9,25.0,25.0,27.0,27.0
27,Arizona Cardinals,421.0,4510.0,38.0,1922.0,9.0,332.4,679.0,1100.0,246.2,32.0,32.0,13.0,32.0
28,Tampa Bay Buccaneers,408.0,4322.0,30.0,1181.0,11.0,292.88,612.2,1020.2,184.1,30.0,28.0,1.0,26.0
29,New York Giants,369.0,4225.0,30.0,1812.0,19.0,289.0,602.5,971.5,295.2,27.0,26.0,25.0,25.0
30,Carolina Panthers,347.0,3696.0,21.0,2296.0,31.0,231.84,495.6,842.6,415.6,13.0,12.0,32.0,12.0
31,Miami Dolphins,344.0,4198.0,39.0,2166.0,15.0,323.91999999999996,653.8,997.8,306.6,28.0,31.0,26.0,31.0
