,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Seattle Seahawks,313.0,2970.0,17.0,1304.0,8.0,186.8,399.0,712.0,178.4,1.0,1.0,2.0,1.0
1,Kansas City Chiefs,318.0,3252.0,22.0,2036.0,4.0,218.08,457.2,775.2,227.6,3.0,3.0,10.0,3.0
2,Detroit Lions,383.0,3706.0,23.0,1109.0,8.0,240.24,508.6,891.6,158.9,17.0,8.0,1.0,8.0
3,Buffalo Bills,337.0,3292.0,16.0,1703.0,10.0,195.68,425.2,762.2,230.3,2.0,2.0,12.0,2.0
4,Arizona Cardinals,365.0,4152.0,22.0,1739.0,9.0,254.08,547.2,912.2,227.9,24.0,22.0,11.0,18.0
5,Baltimore Ravens,382.0,3979.0,22.0,1412.0,8.0,247.16,529.9,911.9,189.2,23.0,16.0,4.0,11.0
6,Houston Texans,363.0,3890.0,28.0,1681.0,6.0,267.6,557.0,920.0,204.1,25.0,24.0,7.0,25.0
7,New England Patriots,342.0,3837.0,24.0,1669.0,6.0,249.48,527.7,869.7,202.9,14.0,14.0,5.0,14.0
8,Cleveland Browns,335.0,3592.0,22.0,2265.0,13.0,231.68,491.2,826.2,304.5,5.0,5.0,28.0,6.0
9,San Francisco 49ers,324.0,3531.0,29.0,1612.0,7.0,257.24,527.1,851.1,203.2,7.0,13.0,6.0,20.0
10,Minnesota Vikings,353.0,3572.0,26.0,1943.0,10.0,246.88,513.2,866.2,254.3,13.0,9.0,16.0,10.0
11,Cincinnati Bengals,365.0,3888.0,18.0,1861.0,16.0,227.52,496.8,861.8,282.1,11.0,7.0,25.0,5.0
12,San Diego Chargers,320.0,3427.0,24.0,1986.0,11.0,233.08,486.7,806.7,264.6,4.0,4.0,20.0,7.0
13,Green Bay Packers,333.0,3623.0,26.0,1919.0,11.0,248.92,518.3,851.3,257.9,8.0,12.0,17.0,12.0
14,Dallas Cowboys,371.0,4031.0,22.0,1650.0,18.0,249.24,535.1,906.1,273.0,22.0,20.0,24.0,13.0
15,Denver Broncos,399.0,3607.0,29.0,1276.0,9.0,260.28,534.7,933.7,181.6,27.0,18.0,3.0,22.0
16,St. Louis Rams,368.0,3861.0,18.0,1765.0,12.0,226.44,494.1,862.1,248.5,12.0,6.0,14.0,4.0
17,Pittsburgh Steelers,350.0,4049.0,30.0,1605.0,9.0,281.96000000000004,584.9,934.9,214.5,28.0,29.0,9.0,29.0
18,Indianapolis Colts,320.0,3669.0,27.0,1814.0,14.0,254.76,528.9,848.9,265.4,6.0,15.0,21.0,19.0
19,Miami Dolphins,338.0,3557.0,27.0,1937.0,13.0,250.28,517.7,855.7,271.7,9.0,11.0,22.0,15.0
20,Carolina Panthers,364.0,3645.0,25.0,1792.0,14.0,245.8,514.5,878.5,263.2,15.0,10.0,19.0,9.0
21,Philadelphia Eagles,345.0,4238.0,30.0,1771.0,14.0,289.52,603.8,948.8,261.1,29.0,30.0,18.0,30.0
22,New York Giants,324.0,3850.0,25.0,2162.0,15.0,254.0,535.0,859.0,306.2,10.0,19.0,29.0,17.0
23,New York Jets,345.0,3746.0,31.0,1489.0,10.0,273.84000000000003,560.6,905.6,208.9,21.0,26.0,8.0,27.0
24,Tampa Bay Buccaneers,387.0,4084.0,28.0,1819.0,15.0,275.36,576.4,963.4,271.9,31.0,28.0,23.0,28.0
25,Jacksonville Jaguars,355.0,3899.0,24.0,2033.0,15.0,251.96,533.9,888.9,293.3,16.0,17.0,27.0,16.0
26,Atlanta Falcons,359.0,4478.0,20.0,1894.0,21.0,259.12,567.8,926.8,315.4,26.0,27.0,31.0,21.0
27,New Orleans Saints,341.0,4019.0,26.0,2125.0,17.0,264.76,557.9,898.9,314.5,20.0,25.0,30.0,24.0
28,Washington Redskins,345.0,3990.0,35.0,1722.0,11.0,299.6,609.0,954.0,238.2,30.0,31.0,13.0,31.0
29,Tennessee Titans,347.0,3773.0,28.0,2195.0,17.0,262.91999999999996,545.3,892.3,321.5,18.0,21.0,32.0,23.0
30,Chicago Bears,366.0,4230.0,34.0,1803.0,12.0,305.2,627.0,993.0,252.3,32.0,32.0,15.0,32.0
31,Oakland Raiders,343.0,3810.0,29.0,1911.0,17.0,268.4,555.0,898.0,293.1,19.0,23.0,26.0,26.0
