,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Chicago Bears,377.0,3515.0,22.0,1280.0,5.0,228.6,483.5,860.5,158.0,9.0,7.0,1.0,7.0
1,Baltimore Ravens,337.0,3360.0,21.0,1327.0,11.0,218.4,462.0,799.0,198.7,5.0,5.0,3.0,5.0
2,Tennessee Titans,337.0,3471.0,21.0,1863.0,9.0,222.84,473.1,810.1,240.3,6.0,6.0,12.0,6.0
3,Houston Texans,385.0,4167.0,28.0,1323.0,8.0,278.68,584.7,969.7,180.3,26.0,26.0,2.0,23.0
4,Jacksonville Jaguars,312.0,3113.0,17.0,1870.0,16.0,192.51999999999998,413.3,725.3,283.0,2.0,2.0,21.0,2.0
5,Dallas Cowboys,367.0,3755.0,22.0,1513.0,12.0,238.2,507.5,874.5,223.3,10.0,10.0,6.0,10.0
6,New England Patriots,370.0,3943.0,29.0,1803.0,7.0,273.72,568.3,938.3,222.3,24.0,21.0,5.0,20.0
7,Los Angeles Chargers,351.0,3646.0,23.0,1693.0,11.0,237.84,502.6,853.6,235.3,7.0,8.0,10.0,9.0
8,Minnesota Vikings,315.0,3140.0,15.0,1815.0,13.0,185.6,404.0,719.0,259.5,1.0,1.0,18.0,1.0
9,Indianapolis Colts,384.0,3805.0,21.0,1630.0,12.0,236.2,506.5,890.5,235.0,11.0,9.0,8.0,8.0
10,Seattle Seahawks,355.0,3842.0,26.0,1811.0,9.0,257.68,540.2,895.2,235.1,14.0,14.0,9.0,13.0
11,Philadelphia Eagles,417.0,4308.0,22.0,1551.0,14.0,260.32,562.8,979.8,239.1,27.0,19.0,11.0,17.0
12,Denver Broncos,353.0,3929.0,26.0,1913.0,11.0,261.15999999999997,548.9,901.9,257.3,16.0,17.0,14.0,18.0
13,New Orleans Saints,384.0,4302.0,30.0,1283.0,12.0,292.08000000000004,610.2,994.2,200.3,28.0,28.0,4.0,27.0
14,Washington Redskins,362.0,3794.0,27.0,1860.0,12.0,259.76,541.4,903.4,258.0,17.0,15.0,15.0,15.0
15,Detroit Lions,323.0,3599.0,29.0,1761.0,11.0,259.96000000000004,533.9,856.9,242.1,8.0,12.0,13.0,16.0
16,Pittsburgh Steelers,362.0,3697.0,27.0,1538.0,13.0,255.88,531.7,893.7,231.8,13.0,11.0,7.0,12.0
17,Buffalo Bills,313.0,2867.0,22.0,1839.0,17.0,202.68,418.7,731.7,285.9,3.0,3.0,22.0,3.0
18,Carolina Panthers,353.0,3847.0,32.0,1804.0,13.0,281.88,576.7,929.7,258.4,22.0,22.0,16.0,25.0
19,Los Angeles Rams,347.0,3780.0,31.0,1957.0,12.0,275.2,564.0,911.0,267.7,19.0,20.0,19.0,21.0
20,Cleveland Browns,393.0,4125.0,21.0,2163.0,20.0,249.0,538.5,931.5,336.3,23.0,13.0,31.0,11.0
21,Green Bay Packers,336.0,3752.0,30.0,1918.0,15.0,270.08000000000004,555.2,891.2,281.8,12.0,18.0,20.0,19.0
22,New York Giants,362.0,4044.0,24.0,1898.0,18.0,257.76,548.4,910.4,297.8,18.0,16.0,24.0,14.0
23,Kansas City Chiefs,406.0,4374.0,30.0,2114.0,19.0,294.96000000000004,617.4,1023.4,325.4,32.0,30.0,29.0,28.0
24,Atlanta Falcons,398.0,4153.0,33.0,1999.0,16.0,298.12,613.3,1011.3,295.9,30.0,29.0,23.0,30.0
25,Arizona Cardinals,342.0,3262.0,21.0,2479.0,25.0,214.48,452.2,794.2,397.9,4.0,4.0,32.0,4.0
26,Miami Dolphins,335.0,3932.0,31.0,2325.0,17.0,281.28,579.2,914.2,334.5,20.0,23.0,30.0,24.0
27,San Francisco 49ers,344.0,3732.0,35.0,1814.0,13.0,289.28,583.2,927.2,259.4,21.0,25.0,17.0,26.0
28,New York Jets,367.0,4065.0,29.0,2021.0,16.0,278.6,580.5,947.5,298.1,25.0,24.0,25.0,22.0
29,Cincinnati Bengals,389.0,4414.0,32.0,2204.0,17.0,304.56,633.4,1022.4,322.4,31.0,32.0,28.0,32.0
30,Tampa Bay Buccaneers,387.0,4151.0,34.0,1983.0,19.0,302.03999999999996,619.1,1006.1,312.3,29.0,31.0,26.0,31.0
31,Oakland Raiders,299.0,3853.0,36.0,2249.0,16.0,298.12,601.3,900.3,320.9,15.0,27.0,27.0,30.0
