,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Seattle Seahawks,327.0,3250.0,15.0,1649.0,8.0,190.0,415.0,742.0,212.9,4.0,2.0,7.0,1.0
1,San Francisco 49ers,337.0,3203.0,19.0,1507.0,7.0,204.12,434.3,771.3,192.7,5.0,4.0,3.0,5.0
2,Chicago Bears,350.0,3423.0,19.0,1627.0,6.0,212.92,456.3,806.3,198.7,12.0,9.0,4.0,10.0
3,Denver Broncos,321.0,3194.0,25.0,1458.0,5.0,227.76,469.4,790.4,175.8,8.0,10.0,1.0,11.0
4,Atlanta Falcons,337.0,3878.0,14.0,1971.0,16.0,211.12,471.8,808.8,293.1,13.0,11.0,23.0,9.0
5,Pittsburgh Steelers,299.0,2963.0,19.0,1450.0,9.0,194.51999999999998,410.3,709.3,199.0,2.0,1.0,5.0,2.0
6,Miami Dolphins,353.0,3974.0,18.0,1734.0,10.0,230.96,505.4,858.4,233.4,20.0,16.0,12.0,13.0
7,Cincinnati Bengals,346.0,3400.0,16.0,1715.0,13.0,200.0,436.0,782.0,249.5,6.0,5.0,14.0,3.0
8,Houston Texans,308.0,3612.0,29.0,1560.0,5.0,260.48,535.2,843.2,186.0,17.0,21.0,2.0,22.0
9,New England Patriots,369.0,4342.0,27.0,1630.0,10.0,281.68,596.2,965.2,223.0,29.0,29.0,10.0,28.0
10,Green Bay Packers,313.0,3492.0,24.0,1896.0,12.0,235.68,493.2,806.2,261.6,10.0,13.0,16.0,15.0
11,Baltimore Ravens,335.0,3650.0,15.0,1965.0,15.0,206.0,455.0,790.0,286.5,7.0,7.0,21.0,6.0
12,New York Giants,341.0,4068.0,26.0,2066.0,9.0,266.72,562.8,903.8,260.6,25.0,27.0,15.0,25.0
13,Minnesota Vikings,391.0,3908.0,28.0,1692.0,10.0,268.32,558.8,949.8,229.2,27.0,26.0,11.0,26.0
14,St. Louis Rams,362.0,3602.0,16.0,1880.0,18.0,208.08,456.2,818.2,296.0,14.0,8.0,24.0,7.0
15,San Diego Chargers,347.0,3681.0,28.0,1542.0,10.0,259.24,536.1,883.1,214.2,23.0,22.0,8.0,21.0
16,Arizona Cardinals,270.0,3213.0,20.0,2192.0,12.0,208.52,441.3,711.3,291.2,3.0,6.0,22.0,8.0
17,Carolina Panthers,371.0,3568.0,22.0,1761.0,11.0,230.72,488.8,859.8,242.1,22.0,12.0,13.0,12.0
18,Cleveland Browns,378.0,3923.0,27.0,1898.0,14.0,264.91999999999996,554.3,932.3,273.8,26.0,25.0,19.0,24.0
19,New York Jets,266.0,3036.0,20.0,2138.0,17.0,201.44,423.6,689.6,315.8,1.0,3.0,29.0,4.0
20,Indianapolis Colts,334.0,3788.0,23.0,2200.0,14.0,243.52,516.8,850.8,304.0,19.0,19.0,28.0,18.0
21,Washington Redskins,393.0,4511.0,31.0,1532.0,11.0,304.44,637.1,1030.1,219.2,31.0,30.0,9.0,30.0
22,Tampa Bay Buccaneers,410.0,4758.0,30.0,1320.0,13.0,310.32,655.8,1065.8,210.0,32.0,32.0,6.0,31.0
23,Dallas Cowboys,320.0,3684.0,22.0,2003.0,17.0,235.36,500.4,820.4,302.3,15.0,15.0,27.0,14.0
24,Kansas City Chiefs,279.0,3533.0,29.0,2171.0,11.0,257.32,527.3,806.3,283.1,12.0,20.0,20.0,20.0
25,Buffalo Bills,306.0,3473.0,25.0,2333.0,23.0,238.92,497.3,803.3,371.3,9.0,14.0,32.0,17.0
26,Detroit Lions,346.0,3569.0,26.0,1889.0,13.0,246.76,512.9,858.9,266.9,21.0,18.0,17.0,19.0
27,Oakland Raiders,347.0,3775.0,28.0,1897.0,18.0,263.0,545.5,892.5,297.7,24.0,24.0,25.0,23.0
28,Philadelphia Eagles,292.0,3470.0,33.0,2021.0,11.0,270.8,545.0,837.0,268.1,16.0,23.0,18.0,27.0
29,Jacksonville Jaguars,341.0,3832.0,21.0,2256.0,19.0,237.28,509.2,850.2,339.6,18.0,17.0,30.0,16.0
30,New Orleans Saints,370.0,4681.0,31.0,2361.0,18.0,311.24,654.1,1024.1,344.1,30.0,31.0,31.0,32.0
31,Tennessee Titans,374.0,3964.0,31.0,2035.0,16.0,282.56,582.4,956.4,299.5,28.0,28.0,26.0,29.0
