,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Seattle Seahawks,333.0,3364.0,14.0,1304.0,10.0,190.56,420.4,753.4,190.4,1.0,1.0,3.0,1.0
1,Cincinnati Bengals,415.0,3976.0,18.0,1477.0,8.0,231.04,505.6,920.6,195.7,19.0,8.0,5.0,6.0
2,Kansas City Chiefs,349.0,3698.0,25.0,1571.0,7.0,247.92,519.8,868.8,199.1,9.0,11.0,6.0,13.0
3,Denver Broncos,344.0,3193.0,19.0,1337.0,10.0,203.72,433.3,777.3,193.7,2.0,2.0,4.0,2.0
4,Minnesota Vikings,359.0,3762.0,24.0,1748.0,7.0,246.48,520.2,879.2,216.8,12.0,12.0,10.0,11.0
5,Carolina Panthers,390.0,3752.0,21.0,1415.0,11.0,234.08,501.2,891.2,207.5,15.0,6.0,9.0,8.0
6,Arizona Cardinals,343.0,3687.0,24.0,1460.0,9.0,243.48,512.7,855.7,200.0,7.0,10.0,7.0,10.0
7,Houston Texans,326.0,3366.0,24.0,1597.0,10.0,230.64,480.6,806.6,219.7,4.0,4.0,11.0,5.0
8,New York Jets,343.0,3763.0,25.0,1335.0,4.0,250.52,526.3,869.3,157.5,10.0,13.0,1.0,15.0
9,New England Patriots,361.0,3852.0,24.0,1578.0,8.0,250.08,529.2,890.2,205.8,13.0,14.0,8.0,14.0
10,Pittsburgh Steelers,402.0,4350.0,29.0,1459.0,6.0,290.0,609.0,1011.0,181.9,29.0,29.0,2.0,28.0
11,Green Bay Packers,321.0,3642.0,20.0,1905.0,13.0,225.68,484.2,805.2,268.5,3.0,5.0,21.0,4.0
12,St. Louis Rams,399.0,4065.0,21.0,1820.0,7.0,246.6,532.5,931.5,224.0,22.0,15.0,12.0,12.0
13,Atlanta Falcons,370.0,3882.0,19.0,1680.0,20.0,231.28,502.2,872.2,288.0,11.0,7.0,28.0,7.0
14,Buffalo Bills,347.0,3972.0,30.0,1730.0,10.0,278.88,577.2,924.2,233.0,20.0,23.0,15.0,22.0
15,Dallas Cowboys,330.0,3636.0,19.0,1931.0,16.0,221.44,477.6,807.6,289.1,5.0,3.0,30.0,3.0
16,Washington Redskins,354.0,4128.0,30.0,1962.0,10.0,285.12,592.8,946.8,256.2,25.0,26.0,19.0,26.0
17,San Francisco 49ers,375.0,4179.0,21.0,2020.0,20.0,251.16,543.9,918.9,322.0,18.0,17.0,32.0,16.0
18,Miami Dolphins,350.0,4000.0,31.0,2019.0,13.0,284.0,586.0,936.0,279.9,23.0,25.0,26.0,25.0
19,Chicago Bears,322.0,3593.0,31.0,1934.0,9.0,267.72,545.3,867.3,247.4,8.0,18.0,18.0,19.0
20,San Diego Chargers,328.0,3786.0,22.0,2005.0,17.0,239.44,510.6,838.6,302.5,6.0,9.0,31.0,9.0
21,Oakland Raiders,404.0,4140.0,25.0,1678.0,12.0,265.6,564.0,968.0,239.8,27.0,20.0,16.0,18.0
22,Detroit Lions,360.0,3789.0,27.0,1808.0,18.0,259.56,540.9,900.9,288.8,16.0,16.0,29.0,17.0
23,Baltimore Ravens,350.0,3737.0,30.0,1661.0,10.0,269.48,553.7,903.7,226.1,17.0,19.0,13.0,20.0
24,Indianapolis Colts,354.0,4114.0,29.0,1952.0,14.0,280.56,585.4,939.4,279.2,24.0,24.0,25.0,23.0
25,Tampa Bay Buccaneers,378.0,3840.0,31.0,1606.0,12.0,277.6,570.0,948.0,232.6,26.0,21.0,14.0,21.0
26,Tennessee Titans,319.0,3678.0,34.0,1797.0,11.0,283.12,571.8,890.8,245.7,14.0,22.0,17.0,24.0
27,Philadelphia Eagles,394.0,4273.0,36.0,2153.0,10.0,314.91999999999996,643.3,1037.3,275.3,30.0,30.0,23.0,30.0
28,Cleveland Browns,322.0,4012.0,34.0,2055.0,11.0,296.48,605.2,927.2,271.5,21.0,28.0,22.0,29.0
29,New York Giants,423.0,4783.0,31.0,1942.0,15.0,315.32,664.3,1087.3,284.2,31.0,31.0,27.0,31.0
30,Jacksonville Jaguars,390.0,4291.0,29.0,1709.0,15.0,287.64,603.1,993.1,260.9,28.0,27.0,20.0,27.0
31,New Orleans Saints,372.0,4544.0,45.0,2071.0,12.0,361.76,724.4,1096.4,279.1,32.0,32.0,24.0,32.0
