,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Buffalo Bills,297.0,2771.0,12.0,1866.0,19.0,158.84,349.1,646.1,300.6,1.0,1.0,22.0,1.0
1,New England Patriots,319.0,3181.0,21.0,2103.0,9.0,211.24,444.1,763.1,264.3,2.0,2.0,12.0,2.0
2,Denver Broncos,341.0,3652.0,22.0,1892.0,9.0,234.08,497.2,838.2,243.2,5.0,4.0,5.0,5.0
3,New Orleans Saints,369.0,3821.0,20.0,1589.0,12.0,232.84,502.1,871.1,230.9,7.0,6.0,4.0,4.0
4,Tampa Bay Buccaneers,445.0,4062.0,26.0,1573.0,11.0,266.48,562.2,1007.2,223.3,28.0,21.0,2.0,19.0
5,Tennessee Titans,395.0,4169.0,24.0,1438.0,14.0,262.76,560.9,955.9,227.8,21.0,20.0,3.0,17.0
6,Dallas Cowboys,364.0,4049.0,24.0,1918.0,13.0,257.96000000000004,548.9,912.9,269.8,14.0,17.0,13.0,13.0
7,Kansas City Chiefs,401.0,4273.0,27.0,1999.0,15.0,278.91999999999996,589.3,990.3,289.9,25.0,25.0,19.0,25.0
8,San Francisco 49ers,372.0,3510.0,25.0,1760.0,17.0,240.4,501.0,873.0,278.0,8.0,5.0,14.0,7.0
9,Indianapolis Colts,390.0,3980.0,32.0,1854.0,10.0,287.2,590.0,980.0,245.4,24.0,26.0,6.0,27.0
10,Arizona Cardinals,367.0,3645.0,30.0,1952.0,10.0,265.8,544.5,911.5,255.2,13.0,15.0,7.0,18.0
11,Seattle Seahawks,443.0,4513.0,24.0,1932.0,16.0,276.52,595.3,1038.3,289.2,31.0,27.0,17.0,24.0
12,Green Bay Packers,379.0,3724.0,31.0,1855.0,13.0,272.96000000000004,558.4,937.4,263.5,17.0,19.0,9.0,23.0
13,Cleveland Browns,367.0,3439.0,29.0,1857.0,13.0,253.56,517.9,884.9,263.7,9.0,10.0,10.0,11.0
14,Los Angeles Rams,416.0,4109.0,17.0,1754.0,18.0,232.36,512.9,928.9,283.4,15.0,9.0,16.0,3.0
15,Miami Dolphins,373.0,3871.0,23.0,1867.0,16.0,246.84,525.1,898.1,282.7,11.0,11.0,15.0,9.0
16,Cincinnati Bengals,420.0,4222.0,26.0,1742.0,15.0,272.88,578.2,998.2,264.2,26.0,23.0,11.0,22.0
17,Philadelphia Eagles,409.0,3756.0,28.0,1834.0,18.0,262.24,543.6,952.6,291.4,19.0,14.0,20.0,16.0
18,Baltimore Ravens,397.0,4742.0,31.0,1436.0,13.0,313.68,660.2,1057.2,221.6,32.0,32.0,1.0,32.0
19,Pittsburgh Steelers,355.0,3656.0,24.0,2483.0,17.0,242.24,509.6,864.6,350.3,6.0,7.0,29.0,8.0
20,Carolina Panthers,337.0,3266.0,26.0,1935.0,16.0,234.64,482.6,819.6,289.5,3.0,3.0,18.0,6.0
21,Chicago Bears,314.0,3257.0,31.0,2127.0,14.0,254.28,511.7,825.7,296.7,4.0,8.0,21.0,12.0
22,New York Giants,402.0,3839.0,27.0,2193.0,15.0,261.56,545.9,947.9,309.3,18.0,16.0,24.0,15.0
23,Minnesota Vikings,401.0,4300.0,29.0,2222.0,15.0,288.0,604.0,1005.0,312.2,27.0,29.0,25.0,28.0
24,Washington Football Team,400.0,4333.0,34.0,1775.0,14.0,309.32,637.3,1037.3,261.5,30.0,31.0,8.0,31.0
25,Las Vegas Raiders,400.0,3789.0,29.0,1943.0,18.0,267.56,552.9,952.9,302.3,20.0,18.0,23.0,20.0
26,Houston Texans,363.0,4117.0,27.0,2418.0,25.0,272.68,573.7,936.7,391.8,16.0,22.0,31.0,21.0
27,Jacksonville Jaguars,377.0,3875.0,24.0,2127.0,22.0,251.0,531.5,908.5,344.7,12.0,12.0,28.0,10.0
28,Atlanta Falcons,391.0,3952.0,31.0,2242.0,19.0,282.08000000000004,581.2,972.2,338.2,23.0,24.0,26.0,26.0
29,Los Angeles Chargers,357.0,3761.0,27.0,2361.0,22.0,258.44,538.1,895.1,368.1,10.0,13.0,30.0,14.0
30,Detroit Lions,359.0,4160.0,31.0,2296.0,19.0,290.4,602.0,961.0,343.6,22.0,28.0,27.0,30.0
31,New York Jets,401.0,4409.0,28.0,2351.0,28.0,288.36,608.9,1009.9,403.1,29.0,30.0,32.0,29.0
