,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,Minnesota Vikings,324.0,3078.0,13.0,1337.0,10.0,175.12,385.8,709.8,193.7,2.0,2.0,4.0,1.0
1,Jacksonville Jaguars,289.0,2718.0,17.0,1860.0,9.0,176.72,373.8,662.8,240.0,1.0,1.0,12.0,2.0
2,Los Angeles Chargers,329.0,3156.0,17.0,2098.0,11.0,194.24,417.6,746.6,275.8,4.0,3.0,24.0,3.0
3,Philadelphia Eagles,363.0,3637.0,24.0,1267.0,7.0,241.48,507.7,870.7,168.7,20.0,16.0,1.0,16.0
4,New England Patriots,367.0,4020.0,24.0,1836.0,6.0,256.8,546.0,913.0,219.6,29.0,27.0,8.0,25.0
5,Baltimore Ravens,333.0,3421.0,18.0,1780.0,12.0,208.84,450.1,783.1,250.0,6.0,7.0,16.0,7.0
6,Pittsburgh Steelers,297.0,3217.0,20.0,1693.0,14.0,208.68,441.7,738.7,253.3,3.0,4.0,18.0,6.0
7,Atlanta Falcons,362.0,3429.0,22.0,1665.0,9.0,225.16,474.9,836.9,220.5,14.0,11.0,9.0,11.0
8,Chicago Bears,343.0,3376.0,18.0,1730.0,10.0,207.04,445.6,788.6,233.0,8.0,5.0,10.0,5.0
9,New Orleans Saints,329.0,3597.0,22.0,1787.0,11.0,231.88,491.7,820.7,244.7,12.0,13.0,15.0,13.0
10,Carolina Panthers,351.0,3665.0,25.0,1409.0,7.0,246.6,516.5,867.5,182.9,19.0,20.0,3.0,18.0
11,Los Angeles Rams,324.0,3475.0,21.0,1957.0,15.0,223.0,473.5,797.5,285.7,11.0,10.0,28.0,10.0
12,Dallas Cowboys,371.0,3425.0,28.0,1664.0,7.0,249.0,510.5,881.5,208.4,23.0,17.0,6.0,20.0
13,Seattle Seahawks,325.0,3347.0,19.0,1824.0,14.0,209.88,448.7,773.7,266.4,5.0,6.0,22.0,8.0
14,Kansas City Chiefs,325.0,3952.0,23.0,1890.0,15.0,250.08,533.2,858.2,279.0,18.0,23.0,25.0,22.0
15,Cincinnati Bengals,336.0,3379.0,20.0,2046.0,13.0,215.16,457.9,793.9,282.6,10.0,9.0,26.0,9.0
16,Tennessee Titans,369.0,3828.0,27.0,1420.0,5.0,261.12,544.8,913.8,172.0,30.0,26.0,2.0,28.0
17,Buffalo Bills,370.0,3688.0,14.0,1994.0,22.0,203.52,452.8,822.8,331.4,13.0,8.0,32.0,4.0
18,Arizona Cardinals,343.0,3541.0,24.0,1432.0,12.0,237.64,498.1,841.1,215.2,15.0,15.0,7.0,14.0
19,Oakland Raiders,361.0,3858.0,24.0,1743.0,11.0,250.32,529.8,890.8,240.3,26.0,21.0,13.0,23.0
20,Detroit Lions,366.0,3892.0,21.0,1800.0,18.0,239.68,515.2,881.2,288.0,22.0,18.0,29.0,15.0
21,New York Jets,329.0,3749.0,30.0,1887.0,13.0,269.96000000000004,554.9,883.9,266.7,25.0,29.0,23.0,29.0
22,Denver Broncos,294.0,3210.0,29.0,1430.0,9.0,244.4,495.0,789.0,197.0,9.0,14.0,5.0,17.0
23,Tampa Bay Buccaneers,371.0,4169.0,22.0,1880.0,17.0,254.76,548.9,919.9,290.0,31.0,28.0,30.0,24.0
24,San Francisco 49ers,344.0,3764.0,27.0,1861.0,13.0,258.56,538.4,882.4,264.1,24.0,25.0,21.0,26.0
25,Green Bay Packers,348.0,3789.0,30.0,1793.0,10.0,271.56,558.9,906.9,239.3,28.0,30.0,11.0,30.0
26,New York Giants,347.0,4038.0,32.0,1933.0,10.0,289.52,595.8,942.8,253.3,32.0,32.0,18.0,32.0
27,Washington Redskins,306.0,3420.0,23.0,2146.0,13.0,228.8,480.0,786.0,292.6,7.0,12.0,31.0,12.0
28,Miami Dolphins,339.0,3603.0,26.0,1768.0,14.0,248.12,516.3,855.3,260.8,17.0,19.0,20.0,19.0
29,Indianapolis Colts,320.0,3946.0,23.0,1927.0,15.0,249.84,532.6,852.6,282.7,16.0,22.0,27.0,21.0
30,Cleveland Browns,360.0,3684.0,28.0,1566.0,14.0,259.36,536.4,896.4,240.6,27.0,24.0,14.0,27.0
31,Houston Texans,321.0,3799.0,30.0,1747.0,14.0,271.96000000000004,559.9,880.9,258.7,21.0,31.0,19.0,31.0
